PERMNO,TICKER,COMNAM,PERMCO,gvkey
42906,HBAN,HUNTINGTON BANCSHARES INC,2093,5786
43350,SWK,STANLEY BLACK & DECKER INC,21664,10016
43449,MCD,MCDONALDS CORP,21177,7154
43553,VFC,V F CORP,21849,11060
44206,ES,EVERSOURCE ENERGY,21299,7970
44329,TFX,TELEFLEX INC,21723,10407
44601,AVY,AVERY DENNISON CORP,20238,1913
44644,ADP,AUTOMATIC DATA PROCESSING INC,20235,1891
45356,JCI,JOHNSON CONTROLS INTL PLC,21791,6268
45751,MMC,MARSH & MCLENNAN COS INC,21158,7065
45911,SWKS,SKYWORKS SOLUTIONS INC,20058,1327
46578,CLX,CLOROX CO,20463,3121
46674,GPC,GENUINE PARTS CO,20807,5125
46703,HST,HOST HOTELS & RESORTS INC,21157,7063
46886,KLAC,K L A TENCOR CORP,2551,6304
47896,JPM,JPMORGAN CHASE & CO,20436,2968
48486,LRCX,LAM RESH CORP,7013,6565
48506,MCO,MOODYS CORP,20610,139665
48653,HUM,HUMANA INC,20950,27914
48725,UNP,UNION PACIFIC CORP,21810,10867
49015,LNC,LINCOLN NATIONAL CORP,21105,6742
49154,TGT,TARGET CORP,20561,3813
49373,HRB,BLOCK H & R INC,20309,2269
49656,BK,BANK OF NEW YORK MELLON CORP,20265,2019
49680,DHR,DANAHER CORP,20557,3735
50286,LEE,LEE ENTERPRISES INC,21090,6639
50876,LLY,LILLY ELI & CO,21102,6730
51692,PIR,PIER 1 IMPORTS INC DE,21405,8579
52038,SYY,SYSCO CORP,21698,10247
52090,MKC,MCCORMICK & CO INC,2801,7146
52230,RHI,ROBERT HALF INTERNATIONAL INC,469,2312
52476,EFX,EQUIFAX INC,20659,4423
52695,GWW,GRAINGER W W INC,20841,5256
52708,LEN,LENNAR CORP,21095,6669
52978,HAS,HASBRO INC,20887,5518
53065,IPG,INTERPUBLIC GROUP COS INC,20997,6136
53613,MU,MICRON TECHNOLOGY INC,7065,7343
54148,PHM,PULTE GROUP INC,21349,8823
55976,WMT,WALMART INC,21880,11259
56274,CAG,CONAGRA BRANDS INC,20495,3362
56573,ITW,ILLINOIS TOOL WORKS INC,20968,5878
57568,BLL,BALL CORP,20257,1988
57665,NKE,NIKE INC,3194,7906
57817,JWN,NORDSTROM INC,3217,7922
57904,AFL,AFLAC INC,92,1449
58246,NTRS,NORTHERN TRUST CORP,3275,7982
58413,FRT,FEDERAL REALTY INVESTMENT TRUST,20697,4605
58683,LUV,SOUTHWEST AIRLINES CO,4181,9882
58819,LNT,ALLIANT ENERGY CORP,4980,11554
59010,GPS,GAP INC,1892,4990
59176,AXP,AMERICAN EXPRESS CO,90,1447
59248,TAP,MOLSON COORS BREWING CO,33,3505
59300,UDR,U D R INC,3334,10894
59328,INTC,INTEL CORP,2367,6008
59408,BAC,BANK OF AMERICA CORP,3151,7647
59459,TRV,TRAVELERS COMPANIES INC,4293,62689
60097,MDT,MEDTRONIC PLC,2850,7228
60206,SNA,SNAP ON INC,4162,9778
60442,PNC,P N C FINANCIAL SERVICES GRP INC,3685,8245
60506,PCAR,PACCAR INC,3487,8253
60599,CTL,CENTURYLINK INC,20421,2884
60628,FDX,FEDEX CORP,1685,4598
60871,ADI,ANALOG DEVICES INC,282,1632
60943,LEG,LEGGETT & PLATT INC,2636,6649
60986,NWL,NEWELL BRANDS INC,3178,7875
61241,AMD,ADVANCED MICRO DEVICES INC,211,1161
61399,LOW,LOWES COMPANIES INC,2709,6829
